,Unnamed: 0,Image,Shade,Name,Color
0,0.0,New York Face Studio Master Chrome Metallic Highlighter - Molten Gold-Molten Rose Gold.jpg,Molten Rose Gold,New York Face Studio Master Chrome Metallic Highlighter  Molten Gold,"[[210.0, 139.0, 143.0]]"
1,1.0,New York Face Studio Master Chrome Metallic Highlighter - Molten Gold-Molten Gold.jpg,Molten Gold,New York Face Studio Master Chrome Metallic Highlighter  Molten Gold,"[[219.0, 159.0, 97.0]]"
2,2.0,MegaGlo Contouring Sustainable Palette - Dulce De Leche E7491 12.5 g-Dulce De Leche.jpg,Dulce De Leche,MegaGlo Contouring Sustainable Palette  Dulce De Leche E7491 12.5 g,"[[181.0, 133.0, 111.0]]"
3,3.0,Face Sheer Blusher- Desert Rose 4g-Desert Rose.jpg,Desert Rose,Face Sheer Blusher Desert Rose 4g,"[[202.96599999999995, 126.53450000000002, 131.7848333333334]]"
4,4.0,Face Sheer Blusher- Desert Rose 4g-Sun Kissed.jpg,Sun Kissed,Face Sheer Blusher Desert Rose 4g,"[[237.0, 181.0, 156.0]]"
5,5.0,New York Fit Me Blush- 16 Rosy Nude-Nude Peach.jpg,Nude Peach,New York Fit Me Blush 16 Rosy Nude,"[[229.0, 154.0, 114.0]]"
6,6.0,New York Fit Me Blush- 16 Rosy Nude-Rosy Nude.jpg,Rosy Nude,New York Fit Me Blush 16 Rosy Nude,"[[217.0, 147.0, 139.0]]"
7,7.0,Contour De Force Face Palette - 02 Vivid Victory-01 Subtle Summit.jpg,01 Subtle Summit,Contour De Force Face Palette  02 Vivid Victory,"[[77.9221666666668, 54.88633333333347, 47.08249999999974]]"
8,8.0,Contour De Force Face Palette - 02 Vivid Victory-02 Vivid Victory.jpg,02 Vivid Victory,Contour De Force Face Palette  02 Vivid Victory,"[[108.87633333333319, 65.71466666666662, 56.159833333333374]]"
9,9.0,Contour De Force Face Palette - 02 Vivid Victory-03 Fierce Feat.jpg,03 Fierce Feat,Contour De Force Face Palette  02 Vivid Victory,"[[146.62650000000036, 92.19416666666675, 77.39366666666658]]"
10,10.0,MegaGlo Highlighting Powder - Precious Petals-Blossom Glow.jpg,Blossom Glow,MegaGlo Highlighting Powder  Precious Petals,"[[207.22866666666667, 181.10116666666667, 175.40116666666668]]"
11,11.0,MegaGlo Highlighting Powder - Precious Petals-Precious Petals.jpg,Precious Petals,MegaGlo Highlighting Powder  Precious Petals,"[[236.04500000000002, 188.517, 156.488]]"
12,12.0,Face Studio Master Chrome Metallic Highlighter - Molten Rose Gold 050 6.5g-Molten Rose Gold.jpg,Molten Rose Gold,Face Studio Master Chrome Metallic Highlighter  Molten Rose Gold 050 6.5g,"[[210.0, 139.0, 143.0]]"
13,13.0,Face Studio Master Chrome Metallic Highlighter - Molten Rose Gold 050 6.5g-Molten Gold.jpg,Molten Gold,Face Studio Master Chrome Metallic Highlighter  Molten Rose Gold 050 6.5g,"[[219.0, 159.0, 97.0]]"
14,14.0,Blusher Reloaded - Rose Kiss 7.5g-Rose Kiss.jpg,Rose Kiss,Blusher Reloaded  Rose Kiss 7.5g,"[[235.4016666666667, 134.52716666666663, 150.04866666666672]]"
15,15.0,Blusher Reloaded - Rose Kiss 7.5g-Pop My Cherry.jpg,Pop My Cherry,Blusher Reloaded  Rose Kiss 7.5g,"[[236.1806666666666, 67.40716666666664, 72.01333333333335]]"
16,16.0,Blusher Reloaded - Rose Kiss 7.5g-Ballerina Pink.jpg,Ballerina Pink,Blusher Reloaded  Rose Kiss 7.5g,"[[226.47483333333338, 150.41800000000003, 157.7278333333334]]"
17,17.0,Blusher Reloaded - Rose Kiss 7.5g-Peach Bliss.jpg,Peach Bliss,Blusher Reloaded  Rose Kiss 7.5g,"[[240.68883333333335, 184.6746666666668, 169.63350000000008]]"
18,18.0,Ultime Pro Face Palette - 01 Fresh 12 g-GLow.jpg,GLow,Ultime Pro Face Palette  01 Fresh 12 g,"[[245.54, 150.11, 116.64000000000001]]"
19,19.0,Ultime Pro Face Palette - 01 Fresh 12 g-Fresh.jpg,Fresh,Ultime Pro Face Palette  01 Fresh 12 g,"[[249.72, 188.69, 157.65]]"
20,20.0,Contour De Force Face Pallete- 01 Subtle Summit 12 gms-01 Subtle Summit.jpg,01 Subtle Summit,Contour De Force Face Pallete 01 Subtle Summit 12 gms,"[[77.9221666666668, 54.88633333333347, 47.08249999999974]]"
21,21.0,Contour De Force Face Pallete- 01 Subtle Summit 12 gms-02 Vivid Victory.jpg,02 Vivid Victory,Contour De Force Face Pallete 01 Subtle Summit 12 gms,"[[108.87633333333319, 65.71466666666662, 56.159833333333374]]"
22,22.0,Contour De Force Face Pallete- 01 Subtle Summit 12 gms-03 Fierce Feat.jpg,03 Fierce Feat,Contour De Force Face Pallete 01 Subtle Summit 12 gms,"[[146.62650000000036, 92.19416666666675, 77.39366666666658]]"
24,24.0,Round Blusher - 03-9.jpg,9,Round Blusher  03,"[[232.39633333333333, 146.41933333333336, 126.78266666666666]]"
25,25.0,Sustainable Color Icon Blush - Mellow Wine-Nudist Society.jpg,Nudist Society,Sustainable Color Icon Blush  Mellow Wine,"[[234.70250000000001, 162.44466666666665, 127.18066666666668]]"
26,26.0,Sustainable Color Icon Blush - Mellow Wine-Mellow Wine.jpg,Mellow Wine,Sustainable Color Icon Blush  Mellow Wine,"[[209.84849999999997, 125.03100000000003, 102.81583333333333]]"
27,27.0,Sustainable Color Icon Blush - Mellow Wine-Pinch Me.jpg,Pinch Me,Sustainable Color Icon Blush  Mellow Wine,"[[227.543, 143.82183333333333, 137.42950000000002]]"
28,28.0,Face Sheer Blusher - Sun Kissed 4g-Desert Rose.jpg,Desert Rose,Face Sheer Blusher  Sun Kissed 4g,"[[202.96599999999995, 126.53450000000002, 131.7848333333334]]"
29,29.0,Face Sheer Blusher - Sun Kissed 4g-Sun Kissed.jpg,Sun Kissed,Face Sheer Blusher  Sun Kissed 4g,"[[237.0, 181.0, 156.0]]"
30,30.0,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe)-04 Royal Rose.jpg,04 Royal Rose,Contour De Force Mini Highlighter  04 Royal Rose (Rosey Taupe),"[[197.57316666666668, 163.25, 153.22616666666667]]"
31,31.0,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe)-03 Metal Medal.jpg,03 Metal Medal,Contour De Force Mini Highlighter  04 Royal Rose (Rosey Taupe),"[[192.0, 136.0, 119.0]]"
32,32.0,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe)-Golden bronze.jpg,Golden bronze,Contour De Force Mini Highlighter  04 Royal Rose (Rosey Taupe),"[[207.0, 170.0, 141.0]]"
33,33.0,New York Fit Me Blush - Nude Peach-Nude Peach.jpg,Nude Peach,New York Fit Me Blush  Nude Peach,"[[229.0, 154.0, 114.0]]"
34,34.0,New York Fit Me Blush - Nude Peach-Rosy Nude.jpg,Rosy Nude,New York Fit Me Blush  Nude Peach,"[[217.0, 147.0, 139.0]]"
35,35.0,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose-02 Royal Rose.jpg,02 Royal Rose,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose02 Royal Rose.jpg,"[[222.28433333333334, 187.81316666666663, 175.92183333333327]]"
36,36.0,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose-03 Bronze Bellwether.jpg,03 Bronze Bellwether,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose03 Bronze Bellwether.jpg,"[[226.0, 162.0, 124.0]]"
37,37.0,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose-01 Champagne Champion.jpg,01 Champagne Champion,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose01 Champagne Champion.jpg,"[[196.0, 142.0, 106.0]]"
38,38.0,Matte Bronzer Caramel - Medium Deep Bronzer-Hoola.jpg,Hoola,Matte Bronzer Caramel  Medium Deep Bronzer,"[[196.31566666666666, 138.76166666666663, 113.30216666666668]]"
39,39.0,Matte Bronzer Caramel - Medium Deep Bronzer-Hoola Caramel.jpg,Hoola Caramel,Matte Bronzer Caramel  Medium Deep Bronzer,"[[176.91199999999998, 116.01366666666665, 78.80366666666666]]"
40,40.0,9-to-5 Pure Rouge Blusher - Nude Flush 6g-Coral Punch.jpg,Coral Punch,9to,"[[238.118, 112.12150000000001, 107.91716666666666]]"
41,41.0,9-to-5 Pure Rouge Blusher - Nude Flush 6g-Pretty Pink.jpg,Pretty Pink,9to,"[[237.90766666666667, 117.85, 152.84166666666667]]"
42,42.0,9-to-5 Pure Rouge Blusher - Nude Flush 6g-Rouge.jpg,Rouge,9to,"[[245.54783333333333, 159.5, 151.3025]]"
43,43.0,Cosmetics Face Fwd Blush Stick -02 Pink Prime 7gm-Pink Prime.jpg,Pink Prime,Cosmetics Face Fwd Blush Stick 02 Pink Prime 7gm,"[[206.72566666666663, 123.72566666666664, 118.29633333333337]]"
44,44.0,Cosmetics Face Fwd Blush Stick -02 Pink Prime 7gm-Mauve Marvel.jpg,Mauve Marvel,Cosmetics Face Fwd Blush Stick 02 Pink Prime 7gm,"[[179.0, 98.0, 107.0]]"
45,45.0,Cosmetics Face Fwd Blush Stick -02 Pink Prime 7gm-01 Coral Climax.jpg,01 Coral Climax,Cosmetics Face Fwd Blush Stick 02 Pink Prime 7gm,"[[232.0, 91.0, 81.0]]"
46,46.0,Blusher Reloaded - Ballerina-Rose Kiss.jpg,Rose Kiss,Blusher Reloaded  Ballerina,"[[235.4016666666667, 134.52716666666663, 150.04866666666672]]"
47,47.0,Blusher Reloaded - Ballerina-Pop My Cherry.jpg,Pop My Cherry,Blusher Reloaded  Ballerina,"[[236.1806666666666, 67.40716666666664, 72.01333333333335]]"
48,48.0,Blusher Reloaded - Ballerina-Ballerina Pink.jpg,Ballerina Pink,Blusher Reloaded  Ballerina,"[[226.47483333333338, 150.41800000000003, 157.7278333333334]]"
49,49.0,Blusher Reloaded - Ballerina-Peach Bliss.jpg,Peach Bliss,Blusher Reloaded  Ballerina,"[[240.68883333333335, 184.6746666666668, 169.63350000000008]]"
50,50.0,Contour De Force Face Palette - 03 Fierce Feat 12 gm-01 Subtle Summit.jpg,01 Subtle Summit,Contour De Force Face Palette  03 Fierce Feat 12 gm,"[[77.92216666666678, 54.88633333333347, 47.08249999999975]]"
51,51.0,Contour De Force Face Palette - 03 Fierce Feat 12 gm-02 Vivid Victory.jpg,02 Vivid Victory,Contour De Force Face Palette  03 Fierce Feat 12 gm,"[[108.87633333333319, 65.71466666666662, 56.159833333333374]]"
52,52.0,Contour De Force Face Palette - 03 Fierce Feat 12 gm-03 Fierce Feat.jpg,03 Fierce Feat,Contour De Force Face Palette  03 Fierce Feat 12 gm,"[[146.62650000000036, 92.19416666666675, 77.39366666666658]]"
53,53.0,Sustainable Color Icon Ombre Blush - Mai Tai Buy You A Drink-Mai Tai Buy You A Drink.jpg,Mai Tai Buy You A Drink,Sustainable Color Icon Ombre Blush  Mai Tai Buy You A Drink,"[[225.03883333333334, 148.94683333333327, 120.91583333333332]]"
54,54.0,Tawny Blush-Tawny.jpg,Tawny,Tawny BlushTawny.jpg,"[[221.0, 139.0, 141.0]]"
55,55.0,Tawny Blush-Apricot 06.jpg,Apricot 06,Tawny BlushApricot 06.jpg,"[[248.54816666666667, 126.76299999999999, 138.44050000000001]]"
56,56.0,Cosmetics Face Fwd Contour Stick - 02 Espresso Edge 9gm-02 Espresso Edge.jpg,02 Espresso Edge,Cosmetics Face Fwd Contour Stick  02 Espresso Edge 9gm,"[[146.21066666666667, 98.10400000000001, 84.41866666666667]]"
57,57.0,Blush - Apricot 6 3.7g-Tawny.jpg,Tawny,Blush  Apricot 6 3.7g,"[[221.0, 139.0, 141.0]]"
58,58.0,Blush - Apricot 6 3.7g-Apricot 06.jpg,Apricot 06,Blush  Apricot 6 3.7g,"[[248.54816666666667, 126.76299999999999, 138.44050000000001]]"
59,59.0,Cheekillusion Blush - Rosey Peach 013 4 g-Rosey Peach.jpg,Rosey Peach,Cheekillusion Blush  Rosey Peach 013 4 g,"[[203.71800000000002, 128.64033333333336, 125.702]]"
60,60.0,Cheekillusion Blush - Rosey Peach 013 4 g-Coral Bliss.jpg,Coral Bliss,Cheekillusion Blush  Rosey Peach 013 4 g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
61,61.0,Cheekillusion Blush - Rosey Peach 013 4 g-Bronzing Glaze-11.jpg,11,Cheekillusion Blush  Rosey Peach 013 4 g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
62,62.0,Cheekillusion Blush - Rosey Peach 013 4 g-Everythings Rosy 010.jpg,Everythings Rosy 010,Cheekillusion Blush  Rosey Peach 013 4 g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
63,63.0,Cheekillusion Blush - Rosey Peach 013 4 g-Coral Craving-09.jpg,09,Cheekillusion Blush  Rosey Peach 013 4 g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
64,64.0,Cheekillusion Blush - Rosey Peach 013 4 g-Sweet Scarlet.jpg,Sweet Scarlet,Cheekillusion Blush  Rosey Peach 013 4 g,"[[149.0, 95.0, 71.0]]"
65,65.0,Cheekillusion Blush - Rosey Peach 013 4 g-Pink Pinch.jpg,Pink Pinch,Cheekillusion Blush  Rosey Peach 013 4 g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
66,66.0,9to5 Pure Rouge Blusher - Coral Punch-Coral Punch.jpg,Coral Punch,9to5 Pure Rouge Blusher  Coral Punch,"[[238.118, 112.12150000000001, 107.91716666666666]]"
67,67.0,9to5 Pure Rouge Blusher - Coral Punch-Pretty Pink.jpg,Pretty Pink,9to5 Pure Rouge Blusher  Coral Punch,"[[237.90766666666667, 117.85, 152.84166666666667]]"
68,68.0,9to5 Pure Rouge Blusher - Coral Punch-Rouge.jpg,Rouge,9to5 Pure Rouge Blusher  Coral Punch,"[[245.54783333333333, 159.5, 151.3025]]"
69,69.0,Cheekillusion Blush - Coral Craving 009 4g-Rosey Peach.jpg,Rosey Peach,Cheekillusion Blush  Coral Craving 009 4g,"[[203.71800000000002, 128.64033333333336, 125.702]]"
70,70.0,Cheekillusion Blush - Coral Craving 009 4g-Coral Bliss.jpg,Coral Bliss,Cheekillusion Blush  Coral Craving 009 4g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
71,71.0,Cheekillusion Blush - Coral Craving 009 4g-Bronzing Glaze-11.jpg,11,Cheekillusion Blush  Coral Craving 009 4g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
72,72.0,Cheekillusion Blush - Coral Craving 009 4g-Everythings Rosy 010.jpg,Everythings Rosy 010,Cheekillusion Blush  Coral Craving 009 4g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
73,73.0,Cheekillusion Blush - Coral Craving 009 4g-Coral Craving-09.jpg,09,Cheekillusion Blush  Coral Craving 009 4g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
74,74.0,Cheekillusion Blush - Coral Craving 009 4g-Sweet Scarlet.jpg,Sweet Scarlet,Cheekillusion Blush  Coral Craving 009 4g,"[[149.0, 95.0, 71.0]]"
75,75.0,Cheekillusion Blush - Coral Craving 009 4g-Pink Pinch.jpg,Pink Pinch,Cheekillusion Blush  Coral Craving 009 4g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
76,76.0,Pink Butter Blush 11 g-Set.jpg,Set,Pink Butter Blush 11 gSet.jpg,"[[187.92616666666657, 109.24950000000003, 84.15766666666669]]"
77,77.0,Pink Butter Blush 11 g-Palette.jpg,Palette,Pink Butter Blush 11 gPalette.jpg,"[[177.82050000000012, 91.38399999999999, 73.37266666666663]]"
78,78.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Rosey Peach.jpg,Rosey Peach,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[203.71800000000002, 128.64033333333336, 125.702]]"
79,79.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Coral Bliss.jpg,Coral Bliss,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
80,80.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Bronzing Glaze-11.jpg,11,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
81,81.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Everythings Rosy 010.jpg,Everythings Rosy 010,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
82,82.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Coral Craving-09.jpg,09,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
83,83.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Sweet Scarlet.jpg,Sweet Scarlet,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[149.0, 95.0, 71.0]]"
84,84.0,Women Cheekillusion Blush - Pink Pinch 008 4g-Pink Pinch.jpg,Pink Pinch,Women Cheekillusion Blush  Pink Pinch 008 4g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
85,85.0,Contour De Force Mini Bronzer- Woody Wonder 02 (Warm Brown)-Woody Wonder 02.jpg,Woody Wonder 02,Contour De Force Mini Bronzer Woody Wonder 02 (Warm Brown),"[[160.0, 105.0, 75.0]]"
86,86.0,MegaGlo Highlighting Powder - Blossom Glow-Blossom Glow.jpg,Blossom Glow,MegaGlo Highlighting Powder  Blossom Glow,"[[207.22866666666667, 181.10116666666667, 175.40116666666668]]"
87,87.0,MegaGlo Highlighting Powder - Blossom Glow-Precious Petals.jpg,Precious Petals,MegaGlo Highlighting Powder  Blossom Glow,"[[236.04500000000002, 188.517, 156.488]]"
88,88.0,Women 9 to 5 Pure Rouge Blusher - Pretty Pink 6g-Coral Punch.jpg,Coral Punch,Women 9 to 5 Pure Rouge Blusher  Pretty Pink 6g,"[[238.118, 112.12150000000001, 107.91716666666666]]"
89,89.0,Women 9 to 5 Pure Rouge Blusher - Pretty Pink 6g-Pretty Pink.jpg,Pretty Pink,Women 9 to 5 Pure Rouge Blusher  Pretty Pink 6g,"[[237.90766666666667, 117.85, 152.84166666666667]]"
90,90.0,Women 9 to 5 Pure Rouge Blusher - Pretty Pink 6g-Rouge.jpg,Rouge,Women 9 to 5 Pure Rouge Blusher  Pretty Pink 6g,"[[245.54783333333333, 159.5, 151.3025]]"
92,92.0,Sustainable Color Icon Blush - Pinch Me Pink 6 g-Nudist Society.jpg,Nudist Society,Sustainable Color Icon Blush  Pinch Me Pink 6 g,"[[234.70250000000001, 162.44466666666665, 127.18066666666668]]"
93,93.0,Sustainable Color Icon Blush - Pinch Me Pink 6 g-Mellow Wine.jpg,Mellow Wine,Sustainable Color Icon Blush  Pinch Me Pink 6 g,"[[209.84849999999997, 125.03100000000003, 102.81583333333333]]"
94,94.0,Sustainable Color Icon Blush - Pinch Me Pink 6 g-Pinch Me.jpg,Pinch Me,Sustainable Color Icon Blush  Pinch Me Pink 6 g,"[[227.543, 143.82183333333333, 137.42950000000002]]"
95,95.0,Cosmetics Glow And Behold Jelly Highlighter 02 Peach Pioneer (Peach Pink Gold) 3g-02 Peach Pioneer.jpg,02 Peach Pioneer,Cosmetics Glow And Behold Jelly Highlighter 02 Peach Pioneer (Peach Pink Gold) 3g02 Peach Pioneer.jpg,"[[225.0, 200.0, 195.0]]"
96,96.0,Cosmetics Glow And Behold Jelly Highlighter 02 Peach Pioneer (Peach Pink Gold) 3g-01 Gold Goal.jpg,01 Gold Goal,Cosmetics Glow And Behold Jelly Highlighter 02 Peach Pioneer (Peach Pink Gold) 3g01 Gold Goal.jpg,"[[226.20999999999998, 205.6028333333333, 194.03466666666668]]"
97,97.0,Women Color Icon Bronzer-What Shady Beaches 11g-What Shady Beaches E743B.jpg,What Shady Beaches E743B,Women Color Icon BronzerWhat Shady Beaches 11g,"[[201.0, 148.0, 116.0]]"
98,98.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Rosey Peach.jpg,Rosey Peach,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[203.71800000000002, 128.64033333333336, 125.702]]"
99,99.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Coral Bliss.jpg,Coral Bliss,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[239.481, 112.85566666666666, 108.64266666666667]]"
100,100.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Bronzing Glaze-11.jpg,11,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[202.97266666666667, 137.87966666666665, 116.267]]"
101,101.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Everythings Rosy 010.jpg,Everythings Rosy 010,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[206.57433333333333, 122.53816666666665, 138.1363333333333]]"
102,102.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Coral Craving-09.jpg,09,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[221.65833333333333, 128.10783333333333, 109.38466666666666]]"
103,103.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Sweet Scarlet.jpg,Sweet Scarlet,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[149.0, 95.0, 71.0]]"
104,104.0,Cheek Illusion Blush - Everything's Rosy 010 6g-Pink Pinch.jpg,Pink Pinch,Cheek Illusion Blush  Everything's Rosy 010 6g,"[[224.43933333333334, 139.51233333333334, 142.2105]]"
106,106.0,Round Blusher - 06-9.jpg,9,Round Blusher  06,"[[232.39633333333333, 146.41933333333336, 126.78266666666666]]"
107,107.0,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g-Pink Prime.jpg,Pink Prime,Face Fwd Blush Stick  Mauve Marvel (Plum) 7g,"[[206.72566666666663, 123.72566666666664, 118.29633333333337]]"
108,108.0,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g-Mauve Marvel.jpg,Mauve Marvel,Face Fwd Blush Stick  Mauve Marvel (Plum) 7g,"[[179.0, 98.0, 107.0]]"
109,109.0,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g-01 Coral Climax.jpg,01 Coral Climax,Face Fwd Blush Stick  Mauve Marvel (Plum) 7g,"[[232.0, 91.0, 81.0]]"
111,111.0,Strobing Powder - 4-2.jpg,2,Strobing Powder  4,"[[235.202, 193.91366666666664, 173.41099999999997]]"
112,112.0,Strobing Powder - 4-Natural.jpg,Natural,Strobing Powder  4,"[[219.983, 210.98533333333333, 202.191]]"
113,113.0,Highlighting Powder - Bronze Glow 8g-Bronze Glow.jpg,Bronze Glow,Highlighting Powder  Bronze Glow 8g,"[[222.39766666666662, 187.77816666666666, 165.52450000000007]]"
114,114.0,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g-04 Royal Rose.jpg,04 Royal Rose,Contour De Force Mini Highlighter  03 Metal Medal ,"[[197.57316666666668, 163.25, 153.22616666666667]]"
115,115.0,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g-03 Metal Medal.jpg,03 Metal Medal,Contour De Force Mini Highlighter  03 Metal Medal ,"[[192.0, 136.0, 119.0]]"
116,116.0,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g-Golden bronze.jpg,Golden bronze,Contour De Force Mini Highlighter  03 Metal Medal ,"[[207.0, 170.0, 141.0]]"
117,117.0,Women Blusher Reloaded - Pop My Cherry 7.5 g-Rose Kiss.jpg,Rose Kiss,Women Blusher Reloaded  Pop My Cherry 7.5 g,"[[235.4016666666667, 134.52716666666663, 150.04866666666672]]"
